antibody,source,reactivity,WT RBD ELISA,BA.5 RBD ELISA,XBB.1.5 RBD ELISA,JN.1 RBD ELISA,VH gene,DH gene,JH gene,H isotype,VL gene,JL gene,VH SHM (nt),VL SHM (nt),VH SHM ratio,VL SHM ratio,D614G,BA.1,BA.2,BA.5,XBB.1.5,HK.3.1,BA.2.86,JN.1,JN.1+F456L,KP.2,JN.1+F456L+A475V,KP.3,KP.3+A475V,epitope group
BD-380,WT convalescents,WT,3.13,N.D.,N.D.,N.D.,IGHV1-69,IGHD5-12,IGHJ4,IGHG1,IGLV1-40,IGLJ2,3.0,0.0,0.008,0.0,0.48,0.926,0.628,inf,inf,inf,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,E1/E2.1
BD-505,WT convalescents,WT,3.11,N.D.,N.D.,N.D.,IGHV3-53,N.D.,IGHJ6,N.D.,IGKV1-33,IGKJ5,N.D.,N.D.,N.D.,N.D.,0.0147,0.0159,0.0209,0.0156,0.0234,inf,0.4635,inf,inf,N.D.,inf,inf,N.D.,A1
BD-515,WT convalescents,WT,3.2,N.D.,N.D.,N.D.,IGHV1-69,IGHD5-12,IGHJ4,IGHG1,IGLV1-40,IGLJ2,2.0,1.0,0.0054,0.003,0.0369,0.0047,0.0049,0.0059,1.023,inf,0.3113,inf,N.D.,N.D.,N.D.,inf,N.D.,A1
BD-602,WT convalescents,WT,N.D.,N.D.,N.D.,N.D.,IGHV3-53,IGHD1-26,IGHJ6,IGHG1,IGKV1-33,IGKJ4,3.0,8.0,0.0084,0.0248,0.0282,0.3403,0.0916,0.0785,0.2881,inf,0.0208,inf,inf,inf,inf,inf,inf,A1
S309,SARS,WT,3.04,N.D.,N.D.,N.D.,IGHV1-18,N.D.,IGHJ5,N.D.,IGKV3-20,IGKJ4,N.D.,N.D.,N.D.,N.D.,0.0741,0.361,0.852,1.06,0.972,N.D.,1.892,9.311,N.D.,N.D.,N.D.,N.D.,N.D.,E2.2
S2H97,WT convalescents,WT,4.1,N.D.,N.D.,N.D.,IGHV5-51,N.D.,IGHJ4,N.D.,IGLV2-14,IGLJ1,N.D.,N.D.,N.D.,N.D.,0.574,2.56,2.7,2.79,4.81,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,E3
FC08,WT-phage display,cross,4.32,N.D.,N.D.,N.D.,IGHV1-69,N.D.,IGHJ4,N.D.,IGLV1-40,IGLJ2,N.D.,N.D.,N.D.,N.D.,0.01007,0.00671,0.004111,1.1861,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,E1/E2.1
S304,SARS exposure,WT,2.81,N.D.,N.D.,N.D.,IGHV3-13,N.D.,IGHJ4,N.D.,IGKV1-39,IGKJ3,N.D.,N.D.,N.D.,N.D.,3.86,8.1,inf,inf,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,F1.1
BD55-1041,WT convalescents,WT,2.96,N.D.,N.D.,N.D.,IGHV1-2,IGHD3-16,IGHJ6,IGHG1,IGLV3-25,IGLJ1,15.0,15.0,0.0393,0.0466,1.68,0.935,0.588,0.754,0.3658,0.6821,0.3705,0.871,N.D.,N.D.,N.D.,0.6346,N.D.,E3
BD55-1205,WT convalescents,WT,3.41,N.D.,N.D.,N.D.,IGHV3-66,IGHD3-10,IGHJ5,IGHG1,IGKV3-15,IGKJ1,22.0,18.0,0.0625,0.0557,0.0033,0.0052,0.0055,0.0035,0.0058,0.01262,0.0078,0.0081,0.01148,0.0122,0.03341,0.0039,0.002359,A1
BD55-1208,WT convalescents,WT,4.15,N.D.,N.D.,N.D.,IGHV3-66,N.D.,IGHJ5,N.D.,IGKV3-20,IGKJ1,N.D.,N.D.,N.D.,N.D.,0.0035,0.0024,0.0027,0.004,0.4912,inf,0.0126,inf,inf,N.D.,inf,inf,N.D.,A1
